,prix,Taxes_municipales,Taxes_scolaires,Electricite,Assurances,ville,region,adresse,chambres,salle_de_bain,salle_d_eau,etage,Aire_habitable,Taille_du_terrain
2315,329500,"2708,79$","179,40$",,"1299,00$",Neuville,Portneuf,"319, rue des Erables",3,2,,1,1168.0,9450.0
2316,275000,"2058,00$","150,00$","2000,00$","1000,00$",Témiscouata-sur-le-Lac,Bas-Saint-Laurent,"1, rue Tremblay",3,2,,2,1500.0,8957.0
2317,200000,"1660,32$","124,14$","800,00$","482,00$",Drummondville (Drummondville),Centre-du-Québec,"1375, rue de l'Érablière",2,1,1,1,,
2318,245000,,,,,Dolbeau-Mistassini,Saguenay-Lac-Saint-Jean,"756-764, rue Pelletier",2,1,,,,9070.75
2320,395000,"3700,00$","188,00$","1700,00$","800,00$",St-Hyacinthe,Montérégie (Rive-Sud Montréal),"6155, rue des Seigneurs Est",4,1,,1,1186.0,18792.0
2321,644900,"4153,40$","422,57$","3500,00$","1811,58$",Charlesbourg,Québec Rive-Nord,"795, place du Maire-Pagé",6,2,1,2,2050.0,13126.0
2322,157999,,,,,Ste-Anne-De-Sabrevois,Montérégie (Rive-Sud Montréal),"173, 20e Avenue",,,,,,5379.5
2323,280000,"3514,26$","154,35$",,"1850,00$",St-Georges,Chaudière-Appalaches,"295, 122e Rue",7,4,,,,9239.4675
2324,350000,"1500,00$",,"1000,00$",,St-Rene-De-Matane,Bas-Saint-Laurent,"130, chemin Lucien-Murray",3,1,1,2,1500.0,47102.87
2325,550000,"4380,00$","324,00$","693,00$","65,00$",Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"3903, rue Régina-Gagnon",3,2,1,3,1194.79,3370.18
2326,699900,,,,,Vaudreuil-Dorion,Montérégie Ouest,rue Gilles-Tremblay - LINQ - Par Les Habitations Sylvain Ménard,3,1,1,3,2215.0,
2327,511900,,,,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"2620, rue Ontario Est - unité 910 - Le Moden",2,1,,1,817.0,
2328,359900,,,,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"2620, rue Ontario Est - unité 508 - Le Moden",1,1,,1,545.0,
2329,645000,"2846,00$","351,00$",,,Shefford,Estrie,"217, rue Maher",4,2,,2,1836.0,35466.0
2330,95500,"226,29$","41,99$",,,St-Gabriel-De-Valcartier,Québec Rive-Nord,"47, rue des Plateaux",,,,,,34361.63
2332,1130000,"4232,00$","546,00$","5000,00$",,St-Bruno-De-Montarville,Montérégie (Rive-Sud Montréal),"475, rue Beaumont Est",4,2,1,2,1725.0,11390.37
2333,350000,"2220,00$","415,00$",,,Drummondville (St-Nicéphore),Centre-du-Québec,"175, rue Forest",5,2,,1,1388.54,6004.11
2334,759000,"5824,00$","469,00$",,"1140,00$",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),"1027-1029, rue Saint-Jacques",8,4,2,,,7534.74
2335,11,,,,,Lachute,Laurentides,"211, rue Saint-Jean",,,,,,153000.0
2336,429000,"2215,79$","199,00$","1500,00$","108,00$",Ste-Sophie,Laurentides,"270, rue de la Rivière",2,1,1,1,840.0,35000.0
2337,807000,"3564,00$","410,00$","1590,00$",,Ste-Marguerite-Du-Lac-Masson,Laurentides,"9, rue des Gémeaux",3,2,1,2,1900.0,44838.0
2338,449900,"3069,02$","400,00$",,"83,00$",Gatineau (Gatineau),Outaouais,"490, boulevard Labrosse",2,1,,,,6000.0
2339,585000,"246,91$","18,66$",,"1805,00$",St-Isidore-de-Clifton,Estrie,"104, 11e Rang",,,,,,2613600.01
2340,450000,"2303,25$","208,38$",,,Nominingue,Laurentides,"1609, montée Vachet",3,1,1,2,1354.0,40390.0
2341,535000,"2809,40$",,,,Lac-Beauport,Québec Rive-Nord,"14, chemin de l'Écho",2,1,,1,,17830.42
2342,465000,"2173,62$","255,95$","495,57$",,Ahuntsic / Cartierville,Montréal / l'Île,"614-125, rue Chabanel Ouest",1,1,1,1,770.69,
2344,520000,"2960,00$","280,00$","2110,00$",,Alma,Saguenay-Lac-Saint-Jean,"3985, route du Lac Ouest",4,2,,1,1300.0,29790.0
2345,499000,"2282,51$","261,32$",,,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,"215-4211, rue de Rouen",3,1,,1,935.0,
2346,289000,"2341,00$",,,,St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),"108-110, rue Grégoire",1,1,,,,602.9625
2347,685000,"4183,00$","442,00$","2330,00$",,Dollard-Des-Ormeaux,Montréal / l'Île,"501-110, rue Donnacona",3,2,1,2,1550.0,
2348,729900,"4887,53$","387,89$","4139,74$",,Gatineau (Gatineau),Outaouais,"39, rue Poirier",4,3,1,2,2481.0,19638.75
2349,129500,"1545,00$","40,00$","121,00$",,Lac-Des-Ecorces,Laurentides,"493, chemin du Pont",2,1,,1,648.0,7798.999999999999
2350,185000,,,,,Montmagny,Chaudière-Appalaches,"372, boulevard Taché Est",4,2,2,1,,8000.0
2351,310900,,,,,Beauport,Québec Rive-Nord,"201-521, rue Jean-François Drouin - Domaine St-Joseph",2,1,1,1,1268.0,
2352,291900,,,,,Beauport,Québec Rive-Nord,"103-521, rue Jean-François-Drouin - Domaine St-Joseph",2,1,1,1,1180.0,
2353,289800,,,,,Gatineau (Hull),Outaouais,"554, boulevard des Hautes Plaines",2,1,,1,875.1,
2354,559000,"4258,31$","374,78$","146,67$",,St-Augustin-De-Desmaures,Québec Rive-Nord,"189, rue du Petit-Hunier",4,2,1,2,1631.8,6324.0
2356,1245000,"4261,00$","790,00$","436,00$","2300,00$",ND-De-L'Ile-Perrot,Montérégie Ouest,"8, rue Alexis-Trottier",5,2,1,2,3802.24,29400.54
2357,639900,"4635,00$","326,00$",,"980,00$",Gatineau (Gatineau),Outaouais,"34, impasse de l'Esplanade",3,2,,1,1290.0,4400.0
2358,25000,,,,,Lac-Mégantic,Estrie,rue Audet,,,,,,
2359,364500,"3054,00$","279,00$","2100,00$","1813,00$",Ste-Foy,Québec Rive-Nord,"895, rue Senneterre",4,2,,2,1392.0,3936.0
2360,315000,,,,,St-Romuald,Québec Rive-Sud (Lévis),"2343, chemin du Fleuve",4,2,,2,2150.0,9869.0
2361,649500,"2796,00$","299,00$","1150,00$","792,00$",Anjou,Montréal / l'Île,"7072, avenue Marie G Lajoie",3,1,1,2,1254.0,1474.66
2362,432000,"2800,00$","215,04$","1469,53$","671,00$",Drummondville (Drummondville),Centre-du-Québec,"2305, rue Offenbach",4,2,,2,992.0,5166.590700000001
2363,395000,"4573,50$","223,10$",,,Racine,Estrie,"352, route 243, Racine",3,,,,,21805.53
2364,549000,"2757,35$","338,94$",,"989,00$",LaSalle,Montréal / l'Île,"302-8105, rue George",3,2,,2,1234.0,6903.0
2365,899900,"6089,66$","600,00$","1200,00$",,Gatineau (Aylmer),Outaouais,"133, rue de Francfort",4,3,1,2,1760.0,7600.0
2366,302500,"2097,94$","182,37$","600,00$","500,00$",Drummondville (Drummondville),Centre-du-Québec,"104-1600, rue Montplaisir",1,1,1,1,800.0,
2368,615000,"2748,81$","321,43$","2950,00$","800,00$",Pierrefonds / Roxboro,Montréal / l'Île,"19677, boulevard Gouin Ouest",3,1,1,2,1250.0,8820.0
2369,469000,"3205,00$",,,,St-Eustache,Laurentides,"92, rue Grondin",4,2,,,,5000.0
2370,675000,"4463,70$","456,04$","1200,00$","700,00$",St-Romuald,Québec Rive-Sud (Lévis),"165, côte Rouge",3,1,1,2,1950.0,10075.0
2371,565000,,,,,Drummondville (Drummondville),Centre-du-Québec,"1420, rue du Denier",4,2,,1,1300.0,7427.0
2372,460000,"2260,00$","235,00$","1925,00$",,Shefford,Estrie,"1385, boulevard David-Bouchard",3,1,1,2,1155.0,53787.0
2373,192000,,,,,Otterburn Park,Montérégie (Rive-Sud Montréal),"148, avenue Borden",,,,,,4900.0
2374,729000,"3000,00$","1000,00$","3500,00$",,St-Lazare,Montérégie Ouest,"1738, place du Chantelys",5,2,1,2,2200.0,32000.0
2375,445000,"1246,71$","195,69$","1157,79$",,Mirabel (St-Augustin),Laurentides,"407-9050, montée Dobie",3,1,1,1,1409.0,1654.0
2376,489500,"3299,62$","250,58$","2090,38$",,Gatineau (Gatineau),Outaouais,"219, rue de Lausanne",4,1,1,2,1450.0,3100.0
2377,520000,"2843,61$","274,30$",,,L'Ile-Perrot,Montérégie Ouest,"512-695, boulevard Perrot",2,1,,1,797.0,
2378,299999,"1717,56$","163,50$","1110,96$",,Chomedey,Laval,"402-4340, rue de la Seine",2,1,,1,792.0,
2380,485000,,,,,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"1030, rue Marquette",3,2,1,2,1640.0,5000.0
2381,444000,"2432,72$","231,83$","688,20$",,Charlemagne,Lanaudière,"103-25, rue des Manoirs",2,1,,1,1153.0,2928752.39
2382,610000,,,,,St-Philippe,Montérégie (Rive-Sud Montréal),"361, rue Lucien",3,2,,1,,3440.15
2383,492000,,,,,Griffintown,Montréal / l'Île,Le SE7T Phase 3 - Unité 4 ½ - 400 Ave Richmond,2,1,1,1,768.0,
2384,1524900,,,,,Piedmont,Laurentides,"1136, chemin du Massif - modèle L'Aspen",2,1,1,2,2244.0,59524.0
2385,269900,,,,,St-Roch-De-Richelieu,Montérégie (Rive-Sud Montréal),rue Richelieu - Par Groupe Lasselle,4,1,1,1,704.0,
2386,264800,,,,,Gatineau (Hull),Outaouais,"89, rue Vaudreuil",2,1,,1,845.0,
2387,330900,,,,,Le Plateau-Mont-Royal,Montréal / l'Île,Le 367 des Pins - Unité 3 ½ - Par Mondev Construction,1,1,,1,,
2388,286000,,,,,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,"9201, rue Notre-Dame Est - Unité #302 - Les Cours Bellerive Phase 3",1,1,,1,567.0,
2389,344900,,,,,Ste-Brigitte-De-Laval,Québec Rive-Nord,Modèle Baïa - À construire - NOUVEAU SECTEUR - Par Terrain Dev Immobilier inc.,3,1,1,2,,
2390,899000,"3475,00$","415,00$","2500,00$","2600,00$",St-Colomban,Laurentides,"667, côte Saint-Paul",6,3,1,2,2850.0,1900585.0
2392,895000,"3406,05$","407,83$","640,55$","1106,00$",Rosemont / La Petite Patrie,Montréal / l'Île,"4965, 6e Avenue",2,1,,1,1376.9,1950.42
2393,329000,"2956,90$","205,21$","2444,00$",,St-Georges,Chaudière-Appalaches,"2420, 126e Rue",5,2,,1,1200.0,11121.51
2394,469000,"3184,22$","234,22$",,,Chateauguay,Montérégie (Rive-Sud Montréal),"117, rue Edison",4,2,,1,1120.0,5910.0
2395,380000,"2795,72$","214,82$","2268,00$",,Ste-Catherine,Montérégie (Rive-Sud Montréal),"1360, rue Cherrier",5,2,,1,864.0,6093.7
2396,100000,,,,,Rawdon,Lanaudière,"4890, chemin du Lac  Gratten",,,,,,120394.0
2397,449000,,,,,St-Hippolyte,Laurentides,"66, chemin du Lac-à-l'Ours Sud",3,1,,1,968.75,26974.36
2398,1375000,"7988,91$","817,63$",,,St-Lambert,Montérégie (Rive-Sud Montréal),rue l'Esperance,2,1,,,,5490.67
2399,250000,"14000,00$","230,00$",,,Limoilou,Québec Rive-Nord,"59, bigaouette",,,,,,2523.6729
2400,1280000,"7448,11$","912,72$",,,Carignan,Montérégie (Rive-Sud Montréal),"136, rue Jean-De-Roncery",7,5,1,2,5082.0,11404.0
2401,495000,"4756,21$","265,00$","1412,00$",,Otterburn Park,Montérégie (Rive-Sud Montréal),"479, rue Comtois",4,2,,1,1054.0,7650.0
2402,589999,"4137,00$","392,00$",,,Val-Des-Monts,Outaouais,"44, rue de l'Allée",4,2,1,1,1868.61,41441.05
2404,434000,"3160,13$","239,24$","3190,00$",,Ste-Sophie,Laurentides,"133, rue des Bois",5,2,,1,920.0,6017.03
2405,198000,,,,,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),Lot 3 818 946 - Rue Salaberry,,,,,,4500.0
2406,209000,"400,00$",,,,Ste-Adèle,Laurentides,"960, chemin du Mont-Loup-Garou",,,,,,88455.66
2407,469000,"2867,72$","324,53$",,,Rivière des Prairies,Montréal / l'Île,"105-8575, avenue René-Descartes",2,2,,1,1257.0,
2408,450000,"1137,00$","130,00$","1061,00$","738,00$",Gascons,Gaspésie-Îles-de-la-Madeleine,"40, route du Calvaire",2,1,1,2,1930.0,68652.22
2409,1250000,"5881,00$","730,00$",,"4451,92$",Villeray / St-Michel / Parc-Extension,Montréal / l'Île,"8355, avenue de Gaspe",5,4,,,,7228.75
2410,296019,,,,,Victoriaville,Centre-du-Québec,"115-121, rue de la Manufacture - Par Construction Thibodeau",1,1,,1,1000.0,4650.01
2411,324900,"1892,68$","197,70$","695,60$",,Vaudreuil-Dorion,Montérégie Ouest,"202-470, rue Boileau",2,1,,1,1200.0,
2412,799900,"3985,00$","443,00$","1580,00$","855,00$",Fabreville,Laval,"610, rue Rosalie",3,1,2,3,1600.0,2942.0
2413,379000,"2816,00$","174,00$","2571,00$","1225,00$",Trois-Rivières (Trois-Rivières-Ouest),Mauricie,"5440, rue de Liège",3,3,,2,1258.0,6300.0
2414,799000,"3434,34$","454,69$","2385,00$",,Ste-Julie,Montérégie (Rive-Sud Montréal),"389, rue de Marseille",4,1,2,2,2458.0,5705.0
2416,459999,"4000,00$","230,00$","600,00$","600,00$",Macamic,Abitibi-Témiscamingue,"61, rue Fortin-les-Berges",4,1,1,2,2300.0,40000.0
2417,825000,"6064,00$","549,00$",,,Pont-Viau,Laval,"24, rue Cousineau",2,1,,,,4592.0
2418,323000,"2525,35$","221,76$","1600,00$",,St-Nicolas,Québec Rive-Sud (Lévis),"921, rue de l'Éclaircie",3,1,1,2,688.89,3713.55
2419,465000,"2600,29$","271,84$","837,05$",,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"507-15, boulevard La Fayette",2,2,,1,979.52,
2420,374500,"3562,40$","267,31$",,,Ste-Catherine-de-la-JC,Québec Rive-Nord,"55-57, rue Kamouraska",2,1,,,,4900.0
2421,545000,"4343,00$","367,00$","2212,00$","1144,00$",Rimouski (Rimouski),Bas-Saint-Laurent,"67, rue Sylvain-Lelièvre",4,1,1,2,1918.0,15057.63
2422,499900,"2994,41$","294,30$",,,Ste-Therese,Laurentides,"2, rue Piché",4,2,,1,1108.0,7346.0
2423,59000,,,,,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,"47, chemin de l'Ile",,,,,,45000.0
2424,557587,,,,,Blainville,Laurentides,"135, rue Carmelle-Boutin - Station 56 - Par Groupe Mathieu",3,1,1,3,,
2425,315005,,,,,St-Apollinaire,Chaudière-Appalaches,"., rue Laflamme",3,2,1,2,1288.0,4500.0
2426,318915,,,,,Pintendre,Québec Rive-Sud (Lévis),"., Rue Marie-Carrier",3,1,1,1,1772.0,5000.0
2428,379000,"3056,00$","264,00$","126,00$",,Neufchatel,Québec Rive-Nord,"9658, rue de la Camomille",5,2,,1,1175.0,2626.0
2429,649900,"3887,01$","393,75$",,,Charlesbourg,Québec Rive-Nord,"256, rue des Inuits",5,3,1,2,2315.0,6473.0
2430,350000,"2388,72$","201,68$","1472,65$","460,00$",Breakeyville,Québec Rive-Sud (Lévis),"258, rue du Marqueur",4,2,1,2,1280.0,3589.76
2431,429000,"2623,00$","183,52$","3297,60$",,Grande-Vallee,Gaspésie-Îles-de-la-Madeleine,"32, rue Saint-François-Xavier Est",4,2,2,2,2982.0,8063.0
2432,524900,"3933,68$","306,29$","1731,19$","2433,97$",Gatineau (Gatineau),Outaouais,"1552A, boulevard Maloney Est",5,2,1,2,2732.0,7630.0
2433,53455,,,,,Windsor,Estrie,rue Mastine,,,,,,5779.0
2434,479000,"1391,96$","341,47$",,,St-Gabriel-De-Valcartier,Québec Rive-Nord,"10, chemin Chabot",4,2,,1,1192.0,43056.0
2435,792177,,,,,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"5050-5052, rue Orchard - Par SMF Construction",4,2,1,,,3937.5
2436,465000,,"226,61$",,"1367,95$",Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"450-1250, avenue des Pins Ouest",1,1,1,1,900.0,
2437,363098,,,,,Victoriaville,Centre-du-Québec,rue de la Manufacture - Modèle Taïga - Par Construction Thibodeau,2,1,,1,1281.0,4456.26
2438,749000,"5236,00$","537,00$","3360,00$","1900,00$",Sillery,Québec Rive-Nord,"1244, avenue des Gouverneurs",5,1,2,2,1920.0,6500.0
2440,129900,,,,,Ste-Catherine-de-la-JC,Québec Rive-Nord,"., Boisé Natura Phase 2 - Par Construction CRD, Ste-Catherine-de-la-JC, G3N 2K3, Québec",,,,,,10000.0
2441,710000,"2448,48$","328,95$",,,St-Alexis,Lanaudière,"4064, rang du Cordon",4,2,,2,1550.0,100000.0
2442,739000,"2520,00$","375,00$","1800,00$","405,00$",Mirabel (Domaine-Vert Nord),Laurentides,"18231, rue de Brissac",3,2,,3,2050.0,3302.0
2443,850000,"2752,77$","379,80$","2500,00$","1680,00$",St-Denis-De-Brompton,Estrie,"255, rue Sara",4,3,1,2,1984.0,142441.2
2444,448000,"2700,00$","250,00$",,,Gatineau (Aylmer),Outaouais,"321, chemin Fraser",3,1,,1,1550.0,9678.15
2445,375000,"3259,42$","232,10$","2928,00$","971,19$",Ste-Brigitte-De-Laval,Québec Rive-Nord,"6, chemin de l'Espoir",3,2,1,2,1536.0,10000.0
2446,515900,"1630,41$","214,85$","2400,00$","1600,00$",Péribonka,Saguenay-Lac-Saint-Jean,"402, chemin du Réservoir",2,1,1,2,1720.0,54528.0
2447,295000,,,,,Luskville,Outaouais,"77, chemin du Bord de l'Eau",2,1,,1,960.0,4602.65
2448,373373,"1736,00$","195,00$","850,00$","360,00$",Pointe-Claire,Montréal / l'Île,"102-126, boulevard Hymus",1,1,,1,645.83,
2449,855000,"5985,39$","461,51$",,,Ste-Adèle,Laurentides,"2045, rue du Portail",5,3,1,2,2222.75,20856.15
2450,349000,,,,,Granby,Estrie,"2-88, rue Saint-Urbain",3,1,1,2,1300.0,3055.87
2452,799000,"2637,00$","435,00$",,,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"270-272, rue Benoit Est",4,3,,,,616.7
2453,489000,"3056,00$","287,00$","2184,00$",,Granby,Estrie,"319, rue Harvey",4,1,1,2,1612.0,9642.0
2454,775000,,,,,Verdun,Montréal / l'Île,"391, rue Melrose",4,2,,1,785.0,
2455,465000,"2746,00$","217,00$","1870,00$",,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),"302, rue Lalonde",3,2,,1,1120.0,5760.0
2456,668000,"3268,17$","419,12$","765,00$","480,00$",Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"303-1070, rue de Bleury",1,1,,1,867.57,
2457,635900,"4671,00$","350,00$",,,Gatineau (Aylmer),Outaouais,"92, rue Jean-De La Fontaine",3,2,,2,1460.0,6023.0
2458,885000,"2026,00$","404,00$",,"1626,00$",Austin,Estrie,"2077, chemin Nicholas Austin",4,2,,2,1446.79,958320.0
2459,539000,"2900,00$","228,00$","893,00$","1176,00$",Mont-Tremblant,Laurentides,"201-203-118, chemin de Kandahar",2,2,,1,915.0,
2460,955000,"3047,00$","388,00$","3600,00$",,Orford,Estrie,"45, rue des Cerfs",7,3,4,2,,169448.4
2461,724900,,,,,St-Hippolyte,Laurentides,"35, rue Victor - Le Alto avec garage double - Par Construction Cousineau",3,1,1,2,1838.0,33000.0
2462,559000,"3604,27$","267,08$","3417,00$",,Sherbrooke (Rock Forest),Estrie,"4339, rue Michel-Ange",5,2,,2,1632.0,6750.0
2464,419900,"2967,56$","277,16$","2466,19$",,Beauport,Québec Rive-Nord,"108, rue de Clichy",3,1,1,1,1152.0,6151.0
2465,535000,"2494,45$","250,16$","3025,00$",,Ste-Martine,Montérégie (Rive-Sud Montréal),"342, rue Saint-Joseph",5,2,,1,1575.0,11496.0
2466,875000,"3966,00$","408,74$","6920,00$","1500,00$",Ste-Julienne,Lanaudière,"1519, place Jolibois",8,4,1,2,4372.9,91291.95
2467,559000,"3800,00$","255,00$",,,Chateauguay,Montérégie (Rive-Sud Montréal),"124, rue Jean-Talon",3,1,1,1,1119.0,6000.0
2468,420000,"2690,00$","200,00$",,,ND-De-Lourdes,Lanaudière,"15, rue Guilbault",5,2,,1,1216.0,8000.0
2469,349500,"1400,00$","150,00$","1500,00$","600,00$",Pierrefonds / Roxboro,Montréal / l'Île,"201-5270, rue Riviera",1,1,,1,,
2470,499000,"2870,93$","252,45$","1978,68$","1413,73$",Verchères,Montérégie (Rive-Sud Montréal),"64, rue Bussières",5,2,,1,1220.0,5694.0
2471,249900,,,,,Ste-Therese,Laurentides,"351, Rue Blainville Est - Par Les Constructions au Sommet JM Inc.",,,,,,4500.0
2472,439000,"2708,80$","183,53$","2675,80$","1100,00$",Chicoutimi (Laterrière),Saguenay-Lac-Saint-Jean,"5623, chemin de l'Église",4,2,2,1,884.0,51847.0
2473,295000,"2950,00$","220,00$","800,00$","350,00$",St-Augustin-De-Desmaures,Québec Rive-Nord,"211-4974, rue Lionel-Groulx",2,1,1,1,1044.0,
2474,799000,"6604,91$","1835,03$","1600,00$","900,00$",Ste-Dorothée,Laval,"2906-100, rue Étienne-Lavoie",3,2,,1,1409.0,
2476,589900,"2715,00$","275,00$","1800,00$","1443,00$",Longueuil (Greenfield Park),Montérégie (Rive-Sud Montréal),"643, rue Bellevue",4,2,2,1,950.0,5700.0
2477,547900,,,,,Marieville,Montérégie (Rive-Sud Montréal),"433, rue Auclair - À construire - Par Construction Vert Nature",2,1,,1,1050.0,5950.0
2478,333300,,,,,Drummondville (Drummondville),Centre-du-Québec,"301, rue du Sémillon - Par Les Entreprises Lachance",2,1,,1,936.0,4390.0
2479,303650,,,,,Ste-Catherine-de-la-JC,Québec Rive-Nord,"24, rue Guy-Linteau - Par les Construction T. Ouellet",3,1,1,2,1302.0,3832.0
2480,342000,,,,,Drummondville (Drummondville),Centre-du-Québec,"305, rue du Sémillon - Par Les Entreprises Lachance",2,1,,1,936.0,5744.0
2481,285900,,,,,Ste-Brigitte-De-Laval,Québec Rive-Nord,Modèle Scandina - À construire - NOUVEAU SECTEUR - Par Terrain Dev Immobilier inc.,2,1,1,2,,
2482,669900,"3138,80$","357,38$","1429,53$",,Ste-Rose,Laval,"2102, rue Robert-Bouthillette",3,1,1,2,1327.5,2997.39
2483,394000,"1970,94$","238,66$","584,90$","231,00$",Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,"4-2910, chemin Bedford",2,1,,1,755.0,
2484,3389000,,,,,St-Nicolas,Québec Rive-Sud (Lévis),chemin Olivier,,,,,,154060.0
2485,414900,"2675,00$","157,00$","2400,00$","1400,00$",Trois-Rivières (Trois-Rivières-Ouest),Mauricie,"7782, rue Notre-Dame Ouest",5,2,,1,1379.93,11207.38
2486,725000,"3861,75$","351,74$","1800,00$","1296,01$",Val-Des-Monts (St-Pierre-de-Wakefield),Outaouais,"333, chemin de la Côte",3,2,,3,1909.52,43560.0
2488,307500,"1648,00$","126,00$","600,00$",,Granby,Estrie,"799, rue Mont-Brome",2,1,,1,1166.0,
2489,461900,,,,,Pont-Rouge,Portneuf,rue des Amandiers - Par Constructions Beaubois inc.,3,1,1,2,1644.0,6163.42
2490,6500000,"5033,13$","943,50$","1600,00$","4432,00$",St-Hippolyte,Laurentides,"42, rue Tracy",3,2,,2,4800.0,8712000.03
2491,590000,"3547,00$","319,28$","2532,00$",,Terrebonne (Terrebonne),Lanaudière,"2025, place de Lima",2,2,,2,1500.0,5000.0
2492,625000,"3170,00$",,"2500,00$",,St-Bruno-De-Montarville,Montérégie (Rive-Sud Montréal),"1045, rue Goyer",5,2,,1,1160.35,7222.58
2493,329900,"1800,00$","120,00$","960,00$","480,00$",Gatineau (Gatineau),Outaouais,"3-77, rue de Sauternes",2,1,,1,1100.0,
2494,162000,"1133,98$","116,02$",,,Baie-St-Paul,Charlevoix,"133, chemin du Domaine-Charlevoix",,,,,,49281.49
2495,649900,,,,,Vaudreuil-Dorion,Montérégie Ouest,rue Gilles-Tremblay - LINQ - Par Les Habitations Sylvain Ménard,3,1,1,3,2180.0,
2496,449000,"1935,53$","265,09$","1428,00$","393,24$",Magog,Estrie,"2303, rue du Versant",3,2,,2,1284.13,12109.0
2497,1149000,"7293,00$","748,00$","1077,00$","2205,00$",Sillery,Québec Rive-Nord,"902, Grande Allée Ouest",6,3,2,2,2751.26,9999.67
2498,418000,"2012,06$","458,67$","540,00$",,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,"301-540, rue Nicolet",2,1,,1,684.0,
2500,180000,"863,86$","49,60$",,,Lavaltrie,Lanaudière,"210, rue des Lavandes",,,,,,6271.0
2501,822000,"2867,00$","351,00$","2100,00$","2400,00$",L'Ange-Gardien-Outaouais,Outaouais,"194, chemin Butler",4,2,1,2,2050.0,283140.0
2502,1999000,"6094,00$","651,00$","4500,00$",,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"2605, boulevard Mountainview",4,3,1,2,2701.74,15749.74
2503,649000,,,,,Lac-Beauport,Québec Rive-Nord,"1022, boulevard du Lac",4,2,,1,1010.0,15450.0
2504,275000,"3171,55$","159,00$","3000,00$","1003,89$",Matane,Bas-Saint-Laurent,"159, rue Dionne",6,2,1,2,2112.0,5070.0
2505,450000,"3034,25$","306,52$","1042,00$","432,00$",Granby,Estrie,"303-52, rue Lemieux",2,1,1,1,1176.0,
2506,610000,"3557,72$","342,63$","1200,00$","750,00$",St-Constant,Montérégie (Rive-Sud Montréal),"61, rue Rousseau",3,1,1,3,1590.0,2800.0
2507,380000,"1708,82$","163,76$","1651,32$","1338,39$",St-Donat,Lanaudière,"1066, chemin Regimbald",4,1,1,1,1040.0,81737.0
2508,599900,"3125,63$","297,64$","3800,00$","1200,00$",Granby,Estrie,"227, rue du Chrysanthème",5,2,,1,1200.0,9300.0
2509,798000,,,,,Dorval / L'Île Dorval,Montréal / l'Île,"1535, rue Bellwood",4,2,1,1,2000.0,5198.5500999999995
2510,598000,"2224,00$","324,00$","1900,00$","1000,00$",Varennes,Montérégie (Rive-Sud Montréal),"140, rue de la Tasserie",4,1,1,2,1447.75,4068.76
2512,539900,"2789,00$","298,00$","1756,00$",,Ste-Julie,Montérégie (Rive-Sud Montréal),"2890, rue de Villandry",4,2,1,2,1280.0,4516.56
2513,650000,"2896,72$","356,71$",,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"2518-2520-2522, rue Hochelga",3,3,,,,941.0
2514,725000,"1352,00$","293,00$",,,St-Lazare,Montérégie Ouest,"1014, rue des Libellules",4,2,1,2,1714.69,5224.8
2515,875000,"4616,00$","555,00$","3347,00$","800,00$",Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,"5110, rue Duchesneau",4,1,1,3,1673.0,5260.0
2516,359000,"2738,00$","247,00$","980,00$",,St-Nicolas,Québec Rive-Sud (Lévis),"1409, rue du Maud",3,2,,2,1280.91,1965.49
2517,448000,"1906,39$","162,27$","1840,00$",,St-Côme,Lanaudière,"601, chemin du Lac-Beloeil",2,1,1,2,1105.0,59716.02
2518,865000,"4083,50$","505,86$","872,52$",,Rosemont / La Petite Patrie,Montréal / l'Île,"429-5595, rue de Lanaudière",3,1,1,2,1073.0,
2519,540000,"6840,00$","302,00$","1927,00$","2400,00$",Trois-Rivières (Ste-Marthe-Du-Cap),Mauricie,"1621-31, rue Notre-Dame Est",17,6,,,,10984.57
2520,537000,"3234,00$",,,,Le Sud-Ouest,Montréal / l'Île,"206-2727, rue Saint-Patrick",1,1,,2,713.0,
